28422821	How the cognitive reserve interacts with beta-amyloid deposition in mitigating FDG metabolism: An observational study.	This observational study had the aim to assess the interaction between cognitive reserve (CR) and cerebrospinal fluid beta-amyloid1-42 (Abeta1-42) in modulating brain [18F]fluorodeoxyglucose positron emission tomography (FDG-PET) metabolism in patients with moderate Alzheimer disease (AD).Twenty-seven patients with probable AD and 25 neurological normal subjects (NNS) entered the study. All participants had an FDG-PET scan, and AD patients also received a lumbar puncture to measure Abeta1-42, 181p-tau, and Tau concentrations. Based on years of formal education, AD patients were classified as highly educated-AD (years of formal education >5) or less educated-AD (years of formal education <5). By using a voxel-wise approach, we first investigated differences in the cerebral glucose uptake between AD and NNS, then we assessed the interaction between level of education (a proxy of CR) and cerebrospinal fluid biomarkers on FDG-PET metabolism in the patient groups.Significantly lower glucose uptake was observed in the posterior cingulate gyrus, in the precuneus, in the inferior and medial temporal gyrus, and in the inferior parietal lobule of AD patients compared with NNS. A significant interaction was found between CR and Abeta1-42 values on brain metabolism in the inferior and medial temporal gyrus bilaterally.The AD patients with higher CR level and marked signs of neuropathology showed glucose hypometabolism in regions typically targeted by AD pathology. This finding supports the hypothesis that CR partially compensates for the effect of Abeta plaques on cognitive impairment, helps in patients' clinical staging, and opens new possibilities for the development of nonpharmacological interventions.
28421897	Negative Bias in the Perception and Memory of Emotional Information in Alzheimer Disease.	BACKGROUND: There is some controversy about the ability of patients with Alzheimer disease (AD) to experience and remember emotional stimuli. This study aims to assess the emotional experience of patients with AD and the existence of emotional enhancement of memory. We also investigated the influence of affective state on these processes. METHODS: Sixty pictures from the International Affective Picture System were administered to 106 participants (72 patients with AD and 54 controls). Participants performed immediate free recall and recognition tasks. Positive and Negative Affect Schedule was used to assess the participants' current affect. RESULTS: Patients identified the valence of unpleasant pictures better than of others pictures and experienced them as more arousing. Patients and controls recalled and recognized higher number of emotional pictures than of neutral ones. Patients discriminated better the unpleasant pictures. A mood congruent effect was observed on emotional experience but not on memory. Positive affect was associated with better immediate recall and with a more liberal response bias. CONCLUSION: Patients with AD can identify the emotional content of the stimuli, especially of the unpleasant ones, and the emotional enhancement of memory is preserved. Affective state does not explain the differences in the processing and memory of emotional items between patients and controls.
28421896	Anosognosia and Its Relation to Psychiatric Symptoms in Early-Onset Alzheimer Disease.	BACKGROUND: We investigated differences in the prevalence of anosognosia and neuropsychiatric symptoms (NPSs) characteristics according to disease severity in patients with early-onset Alzheimer disease (EOAD). METHODS: We recruited 616 patients with EOAD. We subdivided participants into 2 groups based on the presence or absence of anosognosia and then again by Clinical Dementia Rating (CDR) scale. We compared the differences in the Neuropsychiatric Inventory (NPI) scores according to anosognosia and disease severity. RESULTS: The percentage of patients with anosognosia in each CDR group steadily increased as the CDR rating increased (CDR 0.5 8.6% vs CDR 1 13.6% vs CDR 2 26.2%). The NPI total score was significantly higher in patients with anosognosia in the CDR 0.5 and 1 groups; by contrast, it had no association in the CDR 2 group. Frontal lobe functions were associated with anosognosia only in the CDR 0.5 and 1 groups. After stratification by CDR, in the CDR 0.5 group, the prevalence of agitation ( P = .040) and appetite ( P = .013) was significantly higher in patients with anosognosia. In the CDR 1 group, patients with anosognosia had a significantly higher prevalence of delusions ( P = .032), hallucinations ( P = .048), and sleep disturbances ( P = .047). In the CDR 2 group, we found no statistical difference in the frequency of symptoms between patients with and without anosognosia. CONCLUSION: These results confirm that the prevalence of anosognosia as well as the individual NPS and cognitive functions associated with it differ according to EOAD severity.
28413778	Family history and APOE4 risk for Alzheimer's disease impact the neural correlates of episodic memory by early midlife.	Episodic memory impairment is a consistent, pronounced deficit in pre-clinical stages of late-onset Alzheimer's disease (AD). Individuals with risk factors for AD exhibit altered brain function several decades prior to the onset of AD-related symptoms. In the current event-related fMRI study of spatial context memory we tested the hypothesis that middle-aged adults (MA; 40-58 yrs) with a family history of late onset AD (MA+ FH), or a combined + FH and apolipoprotein E epsilon4 allele risk factors for AD (MA+ FH + APOE4), will exhibit differences in encoding and retrieval-related brain activity, compared to - FH - APOE4 MA controls. We also hypothesized that the two at-risk MA groups will exhibit distinct patterns of correlation between brain activity and memory performance, compared to controls. To test these hypotheses we conducted multivariate task, and behavior, partial least squares analysis of fMRI data obtained during successful context encoding and retrieval. Our results indicate that even though there were no significant group differences in context memory performance, there were significant differences in brain activity and brain-behavior correlations involving the hippocampus, inferior parietal cortex, cingulate, and precuneus cortex in MA with AD risk factors, compared to controls. In addition, we observed that brain activity and brain-behavior correlations in anterior-medial PFC and in ventral visual cortex differentiated the two MA risk groups from each other, and from MAcontrols. Our results indicate that functional differences in episodic memory-related regions are present by early midlife in adults with + FH and + APOE-4 risk factors for late onset AD, compared to middle-aged controls.
28413716	Data-driven regions of interest for longitudinal change in three variants of frontotemporal lobar degeneration.	INTRODUCTION: Longitudinal imaging of neurodegenerative disorders is a potentially powerful biomarker for use in clinical trials. In Alzheimer's disease, studies have demonstrated that empirically derived regions of interest (ROIs) can provide more reliable measurement of disease progression compared with anatomically defined ROIs. METHODS: We set out to derive ROIs with optimal effect size for quantifying longitudinal change in a hypothetical clinical trial by comparing atrophy rates in 44 patients with behavioral variant of frontotemporal dementia (bvFTD), 30 with the semantic variant primary progressive aphasia (svPPA), and 26 with the nonfluent variant PPA (nfvPPA) to atrophy in 97 cognitively healthy controls. RESULTS: The regions identified for each variant were generally what would be expected from prior studies of frontotemporal lobar degeneration (FTLD). Sample size estimates for detecting a 40% reduction in annual rate of ROI atrophy varied substantially across groups, being 103 per arm in bvFTD, 31 in nfvPPA, and 10 in svPPA, but in all groups were less than those estimated for a priori ROIs and clinical measures. The variability in location of peak regions of atrophy across individuals was highest in bvFTD and lowest in svPPA, likely relating to the differences in effect size. CONCLUSIONS: These findings suggest that, while cross-validated maps of change can improve sensitivity to change in FTLD compared with a priori regions, the reliability of these maps differs considerably across syndromes. Future studies can utilize these maps to design clinical trials, and should try to identify factors accounting for the variability in patterns of atrophy across individuals, particularly those with bvFTD.
28413709	Awareness, apathy, and depression in Alzheimer's disease and mild cognitive impairment.	INTRODUCTION: Results from studies on awareness disorders in Alzheimer's disease (AD) are controversial because the methodologies, the "objects" of awareness, and the patients' pathologic stage all vary. Our study aimed to compare scores and correlates of awareness according to the stage of the disease and the assessment method. METHODS: We compared 20 mild AD patients to 20 mild cognitive impairment (MCI) patients, using the Patient Competency Rating Scale (PCRS; patient vs. caregiver report) and the Self-Consciousness Scale (rating scale). All patients underwent cognitive, psycho-affective and behavioral assessments (global cognition, executive functions, episodic memory, anxiety-depression, and apathy measures). RESULTS: Groups were matched for age, education, and gender. They were comparable on the depression, anxiety, apathy and awareness scales (ps > .05), and differed for all cognitive variables (p < .05). Using the median split approach, greater apathy and lower depression were associated with poorer awareness on the Self-Consciousness Scale (respectively: odds ratio [OR] = 4.8, p = .03; OR = 4.84, p = .04), and the PCRS (only apathy: OR = 9.3, p = .003). Greater apathy plus lower depression were associated with poorer awareness in both scales (PCRS: OR = 40.5, p = .005; Self-consciousness scale: OR = 28, p = .012). CONCLUSION: These results evidence comparable awareness between AD and MCI patients. The correlates were more affective and behavioral than cognitive, independently from assessment method.
28413194	Dual role of cellular prion protein in normal host and Alzheimer's disease.	Using PrPC-knockout cell lines, it has been shown that the inhibition of apoptosis through STI1 is mediated by PrPC-dependent SOD activation. Antioxidant PrPC may contribute to suppression of inflammasome activation. PrPC is functionally involved in copper metabolism, signal transduction, neuroprotection, and cell maturation. Recently several reports have shown that PrPC participates in trans-membrane signaling processes associated with hematopoietic stem cell replication and neuronal differentiation. In another role, PrPC also tends to function as a neurotoxic protein. Abeta oligomer, which is associated with neurodegeneration in Alzheimer's disease (AD), has also been reported to act as a ligand of PrPC. However, the physiological role of PrPC as an Abeta42-binding protein is not clear. Actually, PrPC is critical in Abeta42-mediated autophagy in neurons. PrPC shows a beneficial role in lipid rafts to promote autophagy. Further search for PrPC-interaction molecules using Prnp-/- mice and various types of Prnp-/- cell lines under various conditions may elucidate other important PrPC important functions.
28410662	Lewy Body Disorders.	Dementia syndromes associated with Lewy bodies are subdivided into dementia with Lewy bodies (DLB), an underdiagnosed cause of dementia in the elderly, and Parkinson disease with dementia (PDD), cognitive impairment appearing in people diagnosed with Parkinson disease. Their neuropathologic substrates are the widespread distribution of aggregates of the protein alpha-synuclein in neurons in cortical brain regions, accompanied by variable Alzheimer pathology. Clinical features of DLB and PDD include distinctive changes in cognition, behavior, movement, sleep, and autonomic function. Diagnostic criteria for DLB and PDD incorporate these features. Current treatment options for DLB and PDD are symptomatic.
28410660	Late-Onset Alzheimer Disease.	The oldest-old represent the fastest growing segment of society, and the risk of developing dementia continues to increase with advancing age into the 9th and 10th decades of life. The most common form of dementia in the oldest-old is Alzheimer disease (AD), although there are often mixed pathologies contributing to dementia in addition to amyloid plaques and neurofibrillary tangles. Diagnosing AD in the oldest-old is challenging due to cognitive and physical changes associated with aging. Treatment remains supportive, with current approved medications able to provide modest symptomatic benefit but unable to slow the progression of disease.
28410659	Early-Onset Alzheimer Disease.	Early-onset Alzheimer disease (EOAD), with onset in individuals younger than 65 years, although overshadowed by the more common late-onset AD (LOAD), differs significantly from LOAD. EOAD comprises approximately 5% of AD and is associated with delays in diagnosis, aggressive course, and age-related psychosocial needs. One source of confusion is that a substantial percentage of EOAD are phenotypic variants that differ from the usual memory-disordered presentation of typical AD. The management of EOAD is similar to that for LOAD, but special emphasis should be placed on targeting the specific cognitive areas involved and more age-appropriate psychosocial support and education.
