28420378	A cross-sectional survey assessing factors associated with reading cancer screening information: previous screening behaviour, demographics and decision-making style.	BACKGROUND: There is broad agreement that cancer screening invitees should know the risks and benefits of testing before deciding whether to participate. In organised screening programmes, a primary method of relaying this information is via leaflets provided at the time of invitation. Little is known about why individuals do not engage with this information. This study assessed factors associated with reading information leaflets provided by the three cancer screening programmes in England. METHODS: A cross-sectional survey asked screening-eligible members of the general population in England about the following predictor variables: uptake of previous screening invitations, demographic characteristics, and 'decision-making styles' (i.e. the extent to which participants tended to make decisions in a way that was avoidant, rational, intuitive, spontaneous, or dependent). The primary outcome measures were the amount of the leaflet that participants reported having read at their most recent invitation, for any of the three programmes for which they were eligible. Associations between these outcomes and predictor variables were assessed using binary or ordinal logistic regression. RESULTS: After exclusions, data from 275, 309, and 556 participants were analysed in relation to the breast, cervical, and bowel screening programmes, respectively. Notable relationships included associations between regularity of screening uptake and reading (more of) the information leaflets for all programmes (e.g. odds ratio: 0.16 for participants who never/very rarely attended breast screening vs. those who always attended previously; p = .009). Higher rational decision-making scores were associated with reading more of the cervical and bowel screening leaflets (OR: 1.13, p < .0005 and OR: 1.11, p = .045, respectively). Information engagement was also higher for White British participants compared with other ethnic groups for breast (OR: 3.28, p = .008) and bowel (OR: 2.58, p = .015) information; an opposite relationship was observed for older participants (OR: 0.96, p = .048; OR: 0.92, p = .029). CONCLUSIONS: Interventions that increase screening uptake may also increase subsequent engagement with information. Future research could investigate how to improve engagement at initial invitations. There may also be scope to reduce barriers to accessing non-English information and alternative communication strategies may benefit participants who are less inclined to weigh up advantages and disadvantages as part of their decision-making.
28414756	Reduction in the copy number and expression level of the recurrent human papillomavirus integration gene fragile histidine triad (FHIT) predicts the transition of cervical lesions.	Cervical cancer is the second most common cancer and the third leading cause of cancer death in females worldwide, especially in developing countries. High risk human papillomavirus (HR-HPV) infection causes cervical cancer and precancerous cervical intraepithelial neoplasia (CIN). Integration of the HR-HPV genome into the host chromatin is an important step in cervical carcinogenesis. The detection of integrated papillomavirus sequences-PCR (DIPS-PCR) allowed us to explore HPV integration in the human genome and to determine the pattern of this integration. We performed DIPS-PCR for 4 cell lines including 3 cervical cancer cell lines and 40 tissue samples. Overall, 32 HR-HPV integration loci were detected in the clinical samples and the HeLa and SiHa cell lines. Among all the integration loci, we identified three recurrent integration loci: 3p14.2 (3 samples), 13q22.1 (2 samples and a SiHa cell line) and 8q24 (1 sample and a HeLa cell line). To further explore the effect of HR-HPV integration in the 3p14.2 locus, we used fluorescence in situ hybridization (FISH) to determine the copy number of the 3p14.2 locus and immunohistochemistry (IHC) to determine the protein expression levels of the related FHIT gene in the clinical samples. Both the 3p14.2 locus copy number and FHIT protein expression levels showed significant decreases when CIN transitioned to cervical cancer. HPV copy number was also evaluated in these clinical samples, and the copy number of HPV increased significantly between CIN and cervical cancer samples. Finally, we employed receiver operating characteristic curve (ROC curve) analysis to evaluate the potential of all these indexes in distinguishing CIN and cervical cancer, and the HPV copy number, FHIT copy number and FHIT protein expression levels have good diagnostic efficiencies.
28414550	Expression of Long Noncoding RNA Urothelial Cancer Associated 1 Promotes Cisplatin Resistance in Cervical Cancer.	Cisplatin resistance is still one of the main reasons for failure of clinical therapy for cervical cancer. But the underlying molecular mechanisms involved in cisplatin resistance of cervical cancer have still remained unclear. Recent studies reported that long noncoding RNAs (lncRNAs) are novel nonprotein-coding transcripts, which might play a key role in cancer biogenesis and prognosis. One of the lncRNAs, urothelial cancer associated 1 (UCA1), has been shown to promote different types of cancer cell proliferation, migration, and invasion. This study showed that overexpression of UCA1 confers cisplatin resistance by promoting cancer cell proliferation and inhibiting apoptosis. In addition, knockdown of UCA1 remarkably decreased cisplatin resistance in cervical cancer cells. Moreover, results also indicated that UCA1 was involved in signaling pathways modulating cell apoptosis and proliferation. UCA1 suppressed apoptosis by downregulating caspase 3 and upregulating CDK2, whereas enhanced cell proliferation by increased level of survivin and decreased level of p21. This study reports for the first time that UCA1 might play an important role in the cisplatin resistance in cervical cancer, and also explain partially how UCA1 promotes cisplatin resistance in cancer cells. These results provide evidence to support that UCA1 can be used as a potential target for a novel therapeutic strategy for cervical cancer.
28410686	Relations between doses cumulated in bone marrow and dose delivery techniques during radiation therapy of cervical and endometrial cancer.	PURPOSE: To compare normal tissue complication probability (NTCP) and average doses in the bone marrow (BM), obtained for five different radiotherapy delivery and planning strategies of cervical and endometrial cancer. MATERIAL/METHODS: 50 patients were taken to analysis. For each case, 3 different dose delivery techniques were used: 4-field, X15MV, 3DCRT; 7-field, X6MV, IMRT; and 2-arc, X6MV, VMAT. Two optimization scenarios were used for the IMRT and VMAT plans generation: with (+) and without (-) the inclusion of the BM as an optimized structure. Average doses and dose-volume histogram parameters for the PTV, BM, bladder, rectum, bowels and femoral heads were compared. In addition, the BM doses were analyzed with respect to the PTV and/or volume of the BM, and NTCP for the BM were computed. RESULTS: The dose in PTV for evaluated plans was similar. The worst doses in organs at risk were obtained for 3DCRT. Using the BM during the optimization of IMRT and VMAT reduces an average dose in BM without increasing the doses in the bladder, rectum and bowels. Differences between doses in BM for IMRT(+) and VMAT(+) plans were similar while NTCP was lower for VMAT(+). A correlation between average dose in BM and the volume ratio of BM and PTV was found for each technique. CONCLUSION: Using the BM during the optimization of the IMRT and VMAT plans effectively reduces the dose in BM without increasing the dose in the bladder, rectum and bowels. The VMAT(+) plans were characterized by the lowest NTCP.
28403015	HR-HPV E6/E7 mRNA In Situ Hybridization: Validation Against PCR, DNA In Situ Hybridization, and p16 Immunohistochemistry in 102 Samples of Cervical, Vulvar, Anal, and Head and Neck Neoplasia.	Dysregulated expression of oncogenic types of E6 and E7 is necessary for human papillomavirus (HPV)-driven carcinogenesis. An HPV E6/E7 mRNA in situ hybridization (ISH) assay covering 18 common high-risk types ("HR-RISH," aka HR-HPV RNA18 ISH) has not been extensively studied in the anogenital tract or validated on automated technology. We herein compare HR-RISH to DNA polymerase chain reaction (PCR), p16 immunohistochemistry, and a previously available HPV DNA ISH assay in HPV-related anogenital and head and neck (H&N) neoplasia. A total of 102 squamous intraepithelial lesions (16 CIN1, 25 CIN3, 3 AIN1, 12 AIN3, 9 VIN3)/invasive squamous cell carcinomas (17 cervical, 2 anal, 18 H&N) as well as 10 normal and 15 reactive cervix samples were collected. HR-RISH, DNA ISH, and p16 immunohistochemistry were performed on whole formalin-fixed, paraffin-embedded sections. RNA ISH for 6 low-risk HPV types (LR-RISH) was also performed. RNA and DNA ISH assays used automated systems. HR-HPV PCR was performed on morphology-directed formalin-fixed, paraffin-embedded punches. HR-RISH was >/=97% sensitive for PCR+ and p16+ neoplasia, as well as morphologically defined anogenital high grade squamous intraepithelial lesion/invasive squamous cell carcinoma. HR-RISH was also positive in 78% of anogenital low grade squamous intraepithelial lesion, including 81% of CIN1. Furthermore, a subset of PCR-negative/invalid and p16-negative lesions was positive for HR-RISH. Only 1 problematic reactive cervix sample and no normal cervix samples stained. These results demonstrate that HR-RISH is a robust method for the detection of HR-HPV-related neoplasia and provides insight into HPV pathobiology. Performance meets or exceeds that of existing assays in anogenital and H&N lesions and may play a role in resolving diagnostically challenging CIN1 versus reactive cases.
28389908	Validation of REM score to predict endometrial cancer in patients with ultrasound endometrial abnormalities: results of a new independent dataset.	The risk of endometrial malignancy (REM) score is a model formulated in a previous single-center validation study, which has been shown to predict endometrial cancer in women with ultrasound endometrial abnormalities based on multiple features (clinical, ultrasound and laboratorial). The purpose of this study was to validate the performance of REM score in an external validation setting. A population-based database with patients, who underwent elective hysteroscopy for ultrasound endometrial abnormalities between 2013 and 2016 at Department of Obstetrics and Gynecology of Campus Bio-medico of Rome, was used. Starting from January 2013 to June 2016, 330 patients were enrolled for hysteroscopy. Thirty-two patients were excluded due to Asherman syndrome or cervical stenosis. Therefore, a total of 298 patients were considered for the analysis. Based on pathologic examination, 102 patients were found to have endometrial cancer, and 196 had benign endometrial disease. Using the predefined cutoff of 0.3185, identified in the previous publication, in this independent cohort of patients we correctly classified 93/102 patients with endometrial cancer and 187/196 with benign disease, reporting an overall sensitivity and specificity of 93.9 and 95.4% (PPV = 0.91, NPV = 0.95), respectively. REM score showed a high positive predictive value for endometrial cancer prediction. However, before REM score can be applied in daily clinical practice, data from randomized controlled trials are needed.
28381193	Gene promoter methylation and protein expression of BRMS1 in uterine cervix in relation to high-risk human papilloma virus infection and cancer.	Cervical cancer is strongly related to certain high-risk types of human papilloma virus infection. Breast cancer metastasis suppressor 1 (BRMS1) is a tumor suppressor gene, its expression being regulated by DNA promoter methylation in several types of cancers. This study aims to evaluate the methylation status of BRMS1 promoter in relation to high-risk types of human papilloma virus infection and the development of pre-cancerous lesions and describe the pattern of BRMS1 protein expression in normal, high-risk types of human papilloma virus-infected pre-cancerous and malignant cervical epithelium. We compared the methylation status of BRMS1 in cervical smears of 64 women with no infection by high-risk types of human papilloma virus to 70 women with proven high-risk types of human papilloma virus infection, using real-time methylation-specific polymerase chain reaction. The expression of BRMS1 protein was described by immunohistochemistry in biopsies from cervical cancer, pre-cancerous lesions, and normal cervices. Methylation of BRMS1 promoter was detected in 37.5% of women with no high-risk types of human papilloma virus infection and was less frequent in smears with high-risk types of human papilloma virus (11.4%) and in women with pathological histology (cervical intraepithelial neoplasia) (11.9%). Methylation was detected also in HeLa cervical cancer cells. Immunohistochemistry revealed nuclear BRMS1 protein staining in normal high-risk types of human papilloma virus-free cervix, in cervical intraepithelial neoplasias, and in malignant tissues, where staining was occasionally also cytoplasmic. In cancer, expression was stronger in the more differentiated cancer blasts. In conclusion, BRMS1 promoter methylation and aberrant protein expression seem to be related to high-risk types of human papilloma virus-induced carcinogenesis in uterine cervix and is worthy of further investigation.
28379896	Spectrum of metastatic and nonmetastatic skeletal findings with dual-phase 18F-FECH PET/CT in patients with biochemical relapse of prostate cancer.	INTRODUCTION: The aim of this study was to evaluate the spectrum of skeletal findings on dual-phase fluorine-18-fluoroethylcholine (F-FECH) PET/CT performed during the work-up of patients referred for suspected prostate cancer relapse. MATERIALS AND METHODS: Three hundred F-FECH PET/CT scans were evaluated prospectively. The low-dose CT features of all cases were categorized as isodense, sclerotic, lytic or mixed lytic/sclerotic and maximum standardized uptake value (SUVmax) values were calculated. Findings on F-FECH PET/CT were correlated with Technetium-99m-methylene diphosphonate planar bone scans and serum prostate-specific antigen. RESULTS: Patient age range was 50-90 years (median 71 years) and prostate-specific antigen values were in the range 0.04-372 ng/ml (Roche Modular method). Seventy-two lesions were detected on F-FECH PET/CT in 45 patients, including 31 (43%) in the pelvis, 17 (23%) in the spine (cervical 3, thoracic 8 and lumbar spine 6) and 10 (13%) in the ribs. Evaluation of low-dose CT in combination with PET helped to characterize benign findings in 21 (29%) lesions. The SUVmax for all except one benign lesion ranged from 0.49 to 2.15. In 51 (71%) lesions because of metastatic disease, SUVmax was 0.6-11.6 for those classified as sclerotic on low-dose CT, 0.7-8.58 for lytic lesions, 1.1-7.65 for isodense lesions and 1.27-3.53 for mixed lytic/sclerotic lesions. Of the 56 F-FECH-avid lesions, 21 lesions showed avidity on bone scan [3 (23%) of the 13 isodense lesions, 14 (40%) of the 35 sclerotic lesions, 2 (50%) of the lytic lesions and 2 (50%) of the mixed sclerotic/lytic lesions]. CONCLUSION: F-FECH PET/CT identified bone lesions in 15% of patients with suspected prostate cancer relapse. SUVmax in isolation cannot be used to characterize these lesions as benign or malignant. Minimal overlap of benign and malignant lesions was observed above SUVmax of 2.5. Low-dose CT of PET/CT is a useful tool to aid characterization.
28368862	Prevalence of Trichomonas vaginalis in women of reproductive age at a family health clinic.	INTRODUCTION: Trichomonas vaginalis is considered the most prevalent curable sexually transmitted infection, and its occurrence exceeds that of gonococcal and chlamydia infections. This parasite has been identified as responsible for the increased risk of transmission of HIV and has also been associated with prostate and cervical cancer. Many carriers of T. vaginalis are asymptomatic and, when experiencing a health problem, they most often have nonspecific symptoms. The aim of this research was to estimate the presence of T. vaginalis and the associated factors in women of childbearing age at a primary health care clinic in the Federal District of Brazil. METHODOLOGY: A cross-sectional study was conducted with consecutive sampling of an outpatient population of women of childbearing age (excluding minors and pregnant women). The women answered a questionnaire and were examined. After vaginal pH measurement and whiff testing, a vaginal secretion sample was obtained for inoculation in TYM, a specific T. vaginalis culture medium. RESULTS: The presence of T. vaginalis was identified in 16% of the sample. Fewer lifetime sexual partners and consistent condom use were identified as factors of protection against the infection. Complaints of dyspareunia were proportionally higher among women with positive cultures for T. vaginalis. CONCLUSIONS: The prevalence of T. vaginalis infection was high in the sample studied. The infection was positively associated with the number of lifetime sexual partners, and consistent condom use was a protective factor. Vaginal complaints were more common among women with T. vaginalis, but only dyspareunia had significant association.
28364788	The clinical research of Thinprep Cytology Test (TCT) combined with HPV-DNA detection in screening cervical cancer.	Our objective is to explore the clinical value of thinprep cytologic test (TCT) combined with HPV-DNA detection in screening cervical cancer. 420 cervical cancer patients admitted in our hospital between April, 2011-April, 2014 were selected. All patients received TCT and HPV-DNA detection, and cervical tissue biopsy was used to confirm the diagnosis. TCT screening results showed that there were 175 patients were &gt;ASCUS and the positive rate was 41.7%, histopathological screening showed that there were 199 patients were >/=cervical intraepithelial neoplasia (CIN) I and the positive rate was 47.4%. HPV-DNA detection showed 180 patients were positive which was 42.9%, and the positive rate of HPV-DNA detection was increased as the disease severity increased. The sensitivity of TCT combined with HPV-DNA detection was higher than single TCT or HPV-DNA, however the specificity was relatively low, and the positive predictive value and negative predictive value were higher which were similar to pathological results. TCT combined with HPV-DNA detection has high sensitivity and accuracy in screening cervical cancer, which is worthy of clinical application.
