28424130	Invasive Pleomorphic Lobular Histology Is an Adverse Prognostic Factor on Survival in Patients with Breast Cancer.	Invasive pleomorphic lobular carcinoma (IPLC) is defined to be an uncommon and different subtype of classical invasive lobular carcinoma (ILC). This special variant is characterized by significant cytological atypia and pleomorphism which differs from the cytological uniformity of ILC. IPLC has been shown to have some poor prognostic factors such as axillary node metastasis and higher histological grade which may lead to poor clinical courses including a short relapse time, increased risk of recurrence and a decreased survival. The aim of this study is to investigate the clinicopathological characteristics and prognosis of IPLC in comparison with ILC and also to evaluate if IPLC is a different clinical entity compared to ILC. A total number of 4418 breast cancer patients treated between 1996 and 2015 in Hacettepe University Cancer Institute, were retrospectively analyzed. Among 4418 patients, 210 were diagnosed with ILC and 23 patients diagnosed with pure IPLC. In this present study, clinicopathological characteristics, disease free survival (DFS) and overall survival (OS) of patients with ILC and IPLC were compared. This study design is one of the rare face to face comparison of pure IPLC and ILC. Patients with IPLC had an increased rate of higher histologic grade, extracapsular extension, lymphovascular invasion and lower percentage of hormone positivity than those of patients with ILC. During the follow-up time, IPLC group experienced 4 cases (17.3%) of recurrence, 5 cases (21.7%) of death and 2 cases (8.7%) of progression in 3 metastatic patients compared to that of 27 cases (12.9%) of recurrence, 29 cases (13,8%) of death and 14 cases (6.7%) of progression in 19 metastatic patients in the ILC group. Patients with IPLC had a worse DFS and OS duration than patients with ILC (P = 0.02 for OS, P = 0.04 for DFS). In conclusion, IPLC is a different and a special breast cancer subtype. This study suggests that IPLC is a distinct clinical entity with an advanced stage and more aggressive clinical course. Patients with IPLC reveal poorer prognostic factors such as higher histological grade, relative lower percentages of hormone positivity, and increased rate of recurrences resulting in poor clinical outcomes and worse survival. Nowadays, it is observed that current treatment methods for IPLC do not seem as successful as in ILC and failed to be effective. Thence, individual therapies including more aggressive surgery and adjuvant or neoadjuvant chemotherapy even in the earlier stages of breast cancer should be performed for this distinct variant.
28423035	Genetic profiling of putative breast cancer stem cells from malignant pleural effusions.	A common symptom during late stage breast cancer disease is pleural effusion, which is related to poor prognosis. Malignant cells can be detected in pleural effusions indicating metastatic spread from the primary tumor site. Pleural effusions have been shown to be a useful source for studying metastasis and for isolating cells with putative cancer stem cell (CSC) properties. For the present study, pleural effusion aspirates from 17 metastatic breast cancer patients were processed to propagate CSCs in vitro. Patient-derived aspirates were cultured under sphere forming conditions and isolated primary cultures were further sorted for cancer stem cell subpopulations ALDH1+ and CD44+CD24-/low. Additionally, sphere forming efficiency of CSC and non-CSC subpopulations was determined. In order to genetically characterize the different tumor subpopulations, DNA was isolated from pleural effusions before and after cell sorting, and compared with corresponding DNA copy number profiles from primary tumors or bone metastasis using low-coverage whole genome sequencing (SCNA-seq). In general, unsorted cells had a higher potential to form spheres when compared to CSC subpopulations. In most cases, cell sorting did not yield sufficient cells for copy number analysis. A total of five from nine analyzed unsorted pleura samples (55%) showed aberrant copy number profiles similar to the respective primary tumor. However, most sorted subpopulations showed a balanced profile indicating an insufficient amount of tumor cells and low sensitivity of the sequencing method. Finally, we were able to establish a long term cell culture from one pleural effusion sample, which was characterized in detail. In conclusion, we confirm that pleural effusions are a suitable source for enrichment of putative CSC. However, sequencing based molecular characterization is impeded due to insufficient sensitivity along with a high number of normal contaminating cells, which are masking genetic alterations of rare cancer (stem) cells.
28422972	Challenges in enumeration of CTCs in breast cancer using techniques independent of cytokeratin expression.	INTRODUCTION: Given the current postulated plasticity between epithelial and mesenchymal states of migratory cancer cells the detection of non-epithelial CTCs is an important scientific and clinical goal. METHODS: We used the filtration-based ISET technology to enrich circulating tumour cells (CTCs) in early breast cancer blood samples and identify them using a morphology-based immunocytochemistry (ICC) approach. RESULTS: We found greater numbers of putative CTCs by this approach than by the cytokeratin-based CellSearch technology, but a high number of CTC false positives were identified in healthy volunteer samples which were not reduced in successive blood draws. Preliminary work using an oestrogen receptor (ER)-based multiplex ICC method in metastatic breast cancer ISET samples indicated a low number of ER+ CTCs even at this advanced stage. CONCLUSIONS: This work highlights the challenges in enumerating CTCs without conventional epithelial markers.
28420378	A cross-sectional survey assessing factors associated with reading cancer screening information: previous screening behaviour, demographics and decision-making style.	BACKGROUND: There is broad agreement that cancer screening invitees should know the risks and benefits of testing before deciding whether to participate. In organised screening programmes, a primary method of relaying this information is via leaflets provided at the time of invitation. Little is known about why individuals do not engage with this information. This study assessed factors associated with reading information leaflets provided by the three cancer screening programmes in England. METHODS: A cross-sectional survey asked screening-eligible members of the general population in England about the following predictor variables: uptake of previous screening invitations, demographic characteristics, and 'decision-making styles' (i.e. the extent to which participants tended to make decisions in a way that was avoidant, rational, intuitive, spontaneous, or dependent). The primary outcome measures were the amount of the leaflet that participants reported having read at their most recent invitation, for any of the three programmes for which they were eligible. Associations between these outcomes and predictor variables were assessed using binary or ordinal logistic regression. RESULTS: After exclusions, data from 275, 309, and 556 participants were analysed in relation to the breast, cervical, and bowel screening programmes, respectively. Notable relationships included associations between regularity of screening uptake and reading (more of) the information leaflets for all programmes (e.g. odds ratio: 0.16 for participants who never/very rarely attended breast screening vs. those who always attended previously; p = .009). Higher rational decision-making scores were associated with reading more of the cervical and bowel screening leaflets (OR: 1.13, p < .0005 and OR: 1.11, p = .045, respectively). Information engagement was also higher for White British participants compared with other ethnic groups for breast (OR: 3.28, p = .008) and bowel (OR: 2.58, p = .015) information; an opposite relationship was observed for older participants (OR: 0.96, p = .048; OR: 0.92, p = .029). CONCLUSIONS: Interventions that increase screening uptake may also increase subsequent engagement with information. Future research could investigate how to improve engagement at initial invitations. There may also be scope to reduce barriers to accessing non-English information and alternative communication strategies may benefit participants who are less inclined to weigh up advantages and disadvantages as part of their decision-making.
28420351	Prognostic significance of TRAIL-R3 and CCR-2 expression in tumor epithelial cells of patients with early breast cancer.	BACKGROUND: Tumor epithelial cells (TEpCs) and spindle-shaped stromal cells, not associated with the vasculature, of patients with early breast cancer express osteoprotegerin (OPG), tumor necrosis factor-related apoptosis-inducing ligand (TRAIL), receptor activator of nuclear factor kappa B ligand, stromal cell derived factor-1, interleukin-6, macrophage colony stimulating factor, chemokine (C-C motif) ligand-2 (CCL-2) and their receptors at significantly higher levels compared with non-neoplastic breast tissues. We evaluated the clinicopathological significance of these ligands and receptors in TEpC and spindle-shaped stromal cells, not associated with the vasculature, to determine their impact on prognosis of patients with early-stage breast cancer. METHODS: We conducted immunohistochemical analyses of protein expression in primary tumors of patients with early breast cancer and analyzed their association with standard prognostic parameters and clinical outcomes, including local relapse, metastatic recurrence, disease-free survival (DFS), metastasis-free survival (MFS), and overall survival (OS). RESULTS: Elevated levels of TRAIL-R3 and chemokine (C-C motif) receptor 2 (CCR-2) in TEpCs and OPG and CCL-2 in stromal cells were significantly associated with a higher risk of metastasis (p = 0.032, p = 0.003, p = 0.038, and p = 0.049; respectively). Moreover, high expression of TRAIL-R3 and CCR-2 in TEpCs was associated with shorter DFS, MFS, and OS. High TRAIL-R3 expression in TEpCs was an independent prognostic factor for DFS and OS, and high CCR-2 expression in these cells was an independent prognostic factor for MFS. CONCLUSIONS: High levels of TRAIL-R3 and CCR-2 expression in TEpCs identified patients with early breast cancer with poor outcomes.
28418819	Cancer Genomics and Important Oncologic Mutations: A Contemporary Guide for Body Imagers.	The field of cancer genomics is rapidly evolving and has led to the development of new therapies. Knowledge of commonly involved cellular pathways and genetic mutations is now essential for radiologists reading oncology cases. Radiogenomics is an emerging area of research that seeks to correlate imaging features with cancer genotypes. Such knowledge may extend the utility of multiparametric imaging to yield information regarding cancer prognosis and likelihood of therapeutic response. To date, only a handful of radiogenomics studies have been performed to evaluate solid tumors of the body, and there is much to explore. Before doing so, however, it behooves us to have adequate background knowledge of clinical cancer genomics to design meaningful radiogenomics projects and explore imaging phenotypes. Herein, an up-to-date, detailed overview is provided of well-known and common mutations of solid body tumors (such as human epithelial growth factor receptor 2, breast cancer susceptibility protein), newer genomic alterations with potential for clinical relevance, and a discussion of known related imaging findings, including existing radiogenomics data and other radiologic patterns of disease. (c) RSNA, 2017 Online supplemental material is available for this article.
28415974	Evaluation of the association between quantitative mammographic density and breast cancer occurred in different quadrants.	BACKGROUND: To investigate the relationship between mammographic density measured in four quadrants of a breast with the location of the occurred cancer. METHODS: One hundred and ten women diagnosed with unilateral breast cancer that could be determined in one specific breast quadrant were retrospectively studied. Women with previous cancer/breast surgery were excluded. The craniocaudal (CC) and mediolateral oblique (MLO) mammography of the contralateral normal breast were used to separate a breast into 4 quadrants: Upper-Outer (UO), Upper-Inner (UI), Lower-Outer (LO), and Lower-Inner (LI). The breast area (BA), dense area (DA), and percent density (PD) in each quadrant were measured by using the fuzzy-C-means segmentation. The BA, DA, and PD were compared between patients who had cancer occurring in different quadrants. RESULTS: The upper-outer quadrant had the highest BA (37 +/- 15 cm2) and DA (7.1 +/- 2.9 cm2), with PD = 20.0 +/- 5.8%. The order of BA and DA in the 4 separated quadrants were: UO > UI > LO > LI, and almost all pair-wise comparisons showed significant differences. For tumor location, 67 women (60.9%) had tumor in UO, 16 (14.5%) in UI, 7 (6.4%) in LO, and 20 (18.2%) in LI quadrant, respectively. The estimated odds and the 95% confidence limits of tumor development in the UO, UI, LO and LI quadrants were 1.56 (1.06, 2.29), 0.17 (0.10, 0.29), 0.07 (0.03, 0.15), and 0.22 (0.14, 0.36), respectively. In these 4 groups of women, the order of quadrant BA and DA were all the same (UO > UI > LO > LI), and there was no significant difference in BA, DA or PD among them (all p > 0.05). CONCLUSIONS: Breast cancer was most likely to occur in the UO quadrant, which was also the quadrant with highest BA and DA; but for women with tumors in other quadrants, the density in that quadrant was not the highest. Therefore, there was no direct association between quadrant density and tumor occurrence.
28415963	Impact of the MDM2 splice-variants MDM2-A, MDM2-B and MDM2-C on cytotoxic stress response in breast cancer cells.	BACKGROUND: The murine double minute 2 (MDM2) is an oncogene and a negative regulator of the tumor suppressor protein p53. MDM2 is known to be amplified in numerous human cancers, and upregulation of MDM2 is considered to be an alternative mechanism of p53 inactivation. The presence of many splice variants of MDM2 has been observed in both normal tissues and malignant cells; however their impact and functional properties in response to chemotherapy treatment are not fully understood. Here, we investigate the biological effects of three widely expressed alternatively spliced variants of MDM2; MDM2-A, MDM2-B and MDM2-C, both in unstressed MCF-7 breast cancer cells and in cells subjected to chemotherapy. We assessed protein stability, subcellular localization and induction of downstream genes known to be regulated by the MDM2-network, as well as impact on cellular endpoints, such as apoptosis, cell cycle arrest and senescence. RESULTS: We found both the splice variants MDM2-B and -C, to have a much longer half-life than MDM2 full-length (FL) protein after chemotherapy treatment indicating that, under stressed conditions, the regulation of degradation of these two variants differs from that of MDM2-FL. Interestingly, we observed all three splice variants to deviate from MDM2-FL protein with respect to subcellular distribution. Furthermore, while MDM2-A and -B induced the expression of the pro-apoptotic gene PUMA, this effect did not manifest in an increased level of apoptosis. CONCLUSION: Although MDM2-B induced slight changes in the cell cycle profile, overall, we found the impact of the three MDM2 splice variants on potential cellular endpoints upon doxorubicin treatment to be limited.
28414807	Interactions between the breast cancer-associated MUC1 mucins and C-type lectin characterized by optical tweezers.	Carbohydrate-protein interactions govern many crucial processes in biological systems including cell recognition events. We have used the sensitive force probe optical tweezers to quantify the interactions occurring between MGL lectins and MUC1 carrying the cancer-associated glycan antigens mucins Tn and STn. Unbinding forces of 7.6 pN and 7.1 pN were determined for the MUC1(Tn)-MGL and MUC1(STn)-MGL interactions, at a force loading rate of ~40 pN/s. The interaction strength increased with increasing force loading rate, to 27 and 37 pN at a force loading rate of ~ 310 pN/s. No interactions were detected between MGL and MUC1(ST), a glycoform of MUC1 also expressed by breast carcinoma cells. Interestingly, this glycan (ST) can be found on proteins expressed by normal cells, although in this case not on MUC1. Additionally, GalNAc decorated polyethylene glycol displayed similar rupture forces as observed for MUC1(Tn) and MUC1(STn) when forced to unbind from MGL, indicating that GalNAc is an essential group in these interactions. Since the STn glycan decoration is more frequently found on the surface of carcinomas than the Tn glycan, the binding of MUC1 carrying STn to MGL may be more physiologically relevant and may be in part responsible for some of the characteristics of STn expressing tumours.
28412966	TFAP2A is a component of the ZEB1/2 network that regulates TGFB1-induced epithelial to mesenchymal transition.	BACKGROUND: The transition between epithelial and mesenchymal phenotypes (EMT) occurs in a variety of contexts. It is critical for mammalian development and it is also involved in tumor initiation and progression. Master transcription factor (TF) regulators of this process are conserved between mouse and human. METHODS: From a computational analysis of a variety of high-throughput sequencing data sets we initially inferred that TFAP2A is connected to the core EMT network in both species. We then analysed publicly available human breast cancer data for TFAP2A expression and also studied the expression (by mRNA sequencing), activity (by monitoring the expression of its predicted targets), and binding (by electrophoretic mobility shift assay and chromatin immunoprecipitation) of this factor in a mouse mammary gland EMT model system (NMuMG) cell line. RESULTS: We found that upon induction of EMT, the activity of TFAP2A, reflected in the expression level of its predicted targets, is up-regulated in a variety of systems, both murine and human, while TFAP2A's expression is increased in more "stem-like" cancers. We provide strong evidence for the direct interaction between the TFAP2A TF and the ZEB2 promoter and we demonstrate that this interaction affects ZEB2 expression. Overexpression of TFAP2A from an exogenous construct perturbs EMT, however, in a manner similar to the downregulation of endogenous TFAP2A that takes place during EMT. CONCLUSIONS: Our study reveals that TFAP2A is a conserved component of the core network that regulates EMT, acting as a repressor of many genes, including ZEB2. REVIEWERS: This article has been reviewed by Dr. Martijn Huynen and Dr. Nicola Aceto.
